TimePeriod,GeoType,GeoID,GeoRank,Geography,Age-adjusted percent,Number,Percent
2021,UHF34,208,3,Canarsie - Flatlands,"1.2* (0.5, 3.0)","2,000*","1.2* (0.5, 2.9)"
2021,UHF34,209,3,Bensonhurst - Bay Ridge,"9.3* (4.4, 18.5)","15,000*","9.5* (4.5, 19.0)"
2021,UHF34,210,3,Coney Island - Sheepshead Bay,"4.6* (2.5, 8.3)","10,000*","4.7* (2.5, 8.6)"
2021,UHF34,211,3,Williamsburg - Bushwick,"5.4* (2.1, 13.1)","7,000*","4.5* (1.8, 11.2)"
2021,UHF34,301,3,Washington Heights,"2.7* (1.3, 5.7)","6,000*","2.7* (1.3, 5.7)"
2021,UHF34,302,3,Central Harlem - Morningside Heights,"4.6* (1.8, 11.6)","6,000*","4.5* (1.7, 11.2)"
2021,UHF34,303,3,East Harlem,"8.5* (4.6, 15.2)","7,000*","8.3* (4.5, 14.8)"
2021,UHF34,304,3,Upper West Side,"6.3* (2.6, 14.7)","11,000*","6.3* (2.3, 16.0)"
2021,UHF34,401,3,Long Island City - Astoria,"5.0* (2.4, 10.2)","9,000*","5.6* (2.5, 11.9)"
2021,UHF34,402,3,West Queens,"1.8* (0.9, 3.5)","6,000*","1.8* (0.9, 3.7)"
2021,UHF34,403,3,Flushing - Clearview,"1.4* (0.4, 4.5)","4,000*","1.7* (0.5, 6.4)"
2021,UHF34,405,3,Ridgewood - Forest Hills,"3.8* (1.7, 8.0)","8,000*","3.8* (1.8, 8.1)"
2021,UHF34,407,3,Southwest Queens,"4.3* (2.2, 8.0)","9,000*","4.3* (2.3, 7.7)"
2021,UHF34,408,3,Jamaica,"1.5* (0.6, 3.9)","4,000*","1.6* (0.6, 4.4)"
2021,UHF34,409,3,Southeast Queens,"1.9* (0.6, 6.3)",**,**
2021,UHF34,410,3,Rockaways,"6.9* (3.3, 13.6)","7,000*","7.6* (3.6, 15.2)"
2021,UHF34,305307,3,Upper East Side-Gramercy,"5.8* (2.7, 12.3)","16,000*","5.3* (2.4, 11.1)"
2021,UHF34,306308,3,Chelsea-Village  ,"5.5* (2.4, 11.9)","11,000*","5.3* (2.4, 11.6)"
2021,UHF34,309310,3,Union Square-Lower Manhattan,"4.0* (2.0, 7.9)","8,000*","3.9* (1.9, 7.8)"
2021,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"2.2* (0.8, 6.0)","4,000*","2.5* (0.9, 6.4)"
2021,UHF34,501502,3,Northern SI,"5.2* (2.2, 11.9)","7,000*","5.1* (1.9, 12.8)"
2021,UHF34,503504,3,Southern SI,"4.2* (1.7, 9.6)","9,000*","3.9* (1.8, 8.2)"
2021,UHF34,105106107,3,South Bronx,"8.7 (5.7, 13.2)","34,000","8.6 (5.5, 13.2)"
2021,Borough,1,1,Bronx,"7.3 (5.5, 9.5)","74,000","7.2 (5.5, 9.4)"
2021,Borough,2,1,Brooklyn,"5.1 (4.0, 6.6)","99,000","5.1 (4.0, 6.5)"
2021,Borough,3,1,Manhattan,"5.2 (3.7, 7.1)","66,000","4.9 (3.5, 6.8)"
2021,Borough,4,1,Queens,"2.9 (2.2, 3.9)","54,000","3.0 (2.3, 4.0)"
2021,Borough,5,1,Staten Island,"4.4* (2.4, 8.0)","16,000*","4.4* (2.4, 7.9)"
2021,Citywide,1,0,New York City,"4.8 (4.2, 5.5)","309,000","4.8 (4.2, 5.5)"
